pmid,title,abstract,authors,journal,pub_date,mesh_terms,url
37047680,"Resveratrol Protects against Skin Inflammation through Inhibition of Mast Cell, Sphingosine Kinase-1, Stat3 and NF-κB p65 Signaling Activation in Mice.","Inflammation is pathogenic to skin diseases, including atopic dermatitis (AD) and eczema. Treatment for AD remains mostly symptomatic with newer but costly options, tainted with adverse side effects. There is an unmet need for safe therapeutic and preventative strategies for AD. Resveratrol (R) is a natural compound known for its anti-inflammatory properties. However, animal and human R studies have yielded contrasting results. Mast cells (MCs) are innate immune skin-resident cells that initiate the development of inflammation and progression to overt disease. R's effects on MCs are also controversial. Using a human-like mouse model of AD development consisting of a single topical application of antigen ovalbumin (O) for 7 days, we previously established that the activation of MCs by a bioactive sphingolipid metabolite sphingosine-1-phosphate (S1P) initiated substantial skin remodeling compared to controls. Here, we show that daily R application normalized O-mediated epidermal thickening, ameliorated cell infiltration, and inhibited skin MC activation and chemokine expression. We unraveled R's multiple mechanisms of action, including decreased activation of the S1P-producing enzyme, sphingosine kinase 1 (SphK1), and of transcription factors Signal Transducer and Activator of Transcription 3 (Stat3) and NF-κBp65, involved in chemokine production. Thus, R may be poised for protection against MC-driven pathogenic skin inflammation.",Carlucci Christopher D; Hui Yvonne; Chumanevich Alena P; Robida Piper A; Fuseler John W et al.,International journal of molecular sciences,2023-04-04,"Animals; Humans; Mice; Chemokines; Dermatitis, Atopic; Inflammation; Mast Cells; NF-kappa B; Resveratrol; Sphingosine",https://pubmed.ncbi.nlm.nih.gov/37047680/
36674974,Sphingosine 1-Phosphate as Essential Signaling Molecule in Inflammatory Skin Diseases.,"Sphingolipids are crucial molecules of the mammalian epidermis. The formation of skin-specific ceramides contributes to the formation of lipid lamellae, which are important for the protection of the epidermis from excessive water loss and protect the skin from the invasion of pathogens and the penetration of xenobiotics. In addition to being structural constituents of the epidermal layer, sphingolipids are also key signaling molecules that participate in the regulation of epidermal cells and the immune cells of the skin. While the importance of ceramides with regard to the proliferation and differentiation of skin cells has been known for a long time, it has emerged in recent years that the sphingolipid sphingosine 1-phosphate (S1P) is also involved in processes such as the proliferation and differentiation of keratinocytes. In addition, the immunomodulatory role of this sphingolipid species is becoming increasingly apparent. This is significant as S1P mediates a variety of its actions via G-protein coupled receptors. It is, therefore, not surprising that dysregulation in the signaling pathways of S1P is involved in the pathophysiological conditions of skin diseases. In the present review, the importance of S1P in skin cells, as well as the immune cells of the skin, is elaborated. In particular, the role of the molecule in inflammatory skin diseases will be discussed. This is important because interfering with S1P signaling pathways may represent an innovative option for the treatment of inflammatory skin diseases.",Kleuser Burkhard; Bäumer Wolfgang,International journal of molecular sciences,2023-01-11,Animals; Sphingosine; Sphingolipids; Lysophospholipids; Ceramides; Skin Diseases; Dermatitis; Mammals,https://pubmed.ncbi.nlm.nih.gov/36674974/
36294465,The Dawn of a New Era in Atopic Dermatitis Treatment.,"Atopic dermatitis (AD) is one of the most common chronic inflammatory skin diseases, and the condition is typified by barrier dysfunction and immune dysregulation. Recent studies have characterized various phenotypes and endotypes of AD and elucidated the mechanism. Numerous topical and systemic narrow targeting therapies for AD have been developed according to these findings. Topical medications, including Janus kinase (JAK) inhibitors, phosphodiesterase 4 inhibitors, and the aryl hydrocarbon receptor agonist tapinarof, are effective and safe for AD compared to topical corticosteroids. Oral JAK inhibitors and monoclonal antibodies targeting interleukin (IL)-4, IL-13, IL-31, IL-33, OX40, thymic stromal lymphopoietin, and sphingosine 1-phosphate signaling have displayed outstanding efficacy against moderate-to-severe AD. We are currently in a new era of AD treatment.",Yamamura Kazuhiko; Nakahara Takeshi,Journal of clinical medicine,2022-10-18,,https://pubmed.ncbi.nlm.nih.gov/36294465/
35304160,Signaling sphingolipids are biomarkers for atopic dermatitis prone to disseminated viral infections.,"Life-threatening viral diseases such as eczema herpeticum (EH) and eczema vaccinatum (EV) occur in <5% of individuals with atopic dermatitis (AD). The diagnosis of AD, however, excludes all individuals with AD from smallpox vaccination. We sought to identify circulatory and skin lipid biomarkers associated with EH and EV. Stratum corneum and plasma samples from 15 subjects with AD and a history of EH, 13 age- and gender-matched subjects with AD and without EH history, and 13 healthy nonatopic (NA) controls were analyzed by liquid chromatography tandem mass spectrometry for sphingolipid content. Sphingosine-1-phosphate (S1P) and ceramide levels were validated in plasma samples from the Atopic Dermatitis Vaccinia Network/Atopic Dermatitis Research Network repository (12 NA, 12 AD, 23 EH) and plasma from 7 subjects with EV and 7 matched subjects with AD. S1P lyase was downregulated in human primary keratinocytes to evaluate its effect on herpes simplex virus 1 (HSV-1) replication in vitro. The stratum corneum of patients with EH demonstrated significantly higher levels of free sphingoid bases than those in patients who were NA, indicating enhanced sphingolipid turnover in keratinocytes (P < .05). Plasma from 2 independent cohorts of patients with EH had a significantly increased S1P/ceramide ratio in subjects with EH versus those with AD and or who were NA (P < .01). The S1P level in plasma from subjects with EV was twice the level in plasma from subjects with AD (mean = 1,533 vs 732 pmol/mL; P < .001). Downregulation of S1P lyase expression with silencing RNA led to an increased S1P level and doubled HSV-1 titer in keratinocytes. Our data point to long-term abnormalities in the S1P signaling system as a biomarker for previous disseminated viral diseases and a potential treatment target in recurring infections.",Berdyshev Evgeny; Goleva Elena; Bronova Irina; Bronoff Anna Sofia; Streib Joanne E et al.,The Journal of allergy and clinical immunology,2022-03-15,"Biomarkers; Ceramides; Dermatitis, Atopic; Herpesvirus 1, Human; Humans; Kaposi Varicelliform Eruption; Lyases; Sphingolipids",https://pubmed.ncbi.nlm.nih.gov/35304160/
35199091,Altered Serum Phospholipids in Atopic Dermatitis and Association with Clinical Status.,"Circulating phospholipids have been considered as biomarkers and therapeutic targets in multiple disorders. Atopic dermatitis (AD) is the most common inflammatory skin disease. Although there are numerous studies having addressed stratum corneum lipids in the context of epidermal barrier, little is known about the circulating lipids in patients with AD. In this study, we explored the changes of serum phospholipids in AD using liquid chromatography coupled to tandem mass spectrometry and sought serum lipids' contribution to clinical status. Several serum levels of phospholipids were altered in the AD group (n = 179) compared with that in healthy controls (n = 47) and patients without AD with atopic comorbidities (n = 22); lipids exhibiting the apparent changes included increased sphingosine, multiple variants of phosphatidylcholine, and decreased ceramide (16:0) in patients with AD. Moreover, serum levels of sphingosine correlated with the severity of AD, and sphingosine and ceramide(16:0) were also detected as the risk-increasing effect and risk-reduction effect of AD, respectively. In summary, alterations in the serum concentration of phospholipids are seen in patients with AD. Although more detailed investigations will be needed to evaluate the significance of the changes in circulating lipids in AD, these findings can provide, to our knowledge, previously unreported insight into AD's pathogenesis and therapeutic strategies.",Sakai Takashi; Herrmann Nadine; Maintz Laura; Nümm Tim Joachim; Welchowski Thomas et al.,JID innovations : skin science from molecules to population health,2021-12-22,,https://pubmed.ncbi.nlm.nih.gov/35199091/
34679239,Novel functions of S1P in chronic itchy and inflammatory skin diseases.,"S1P is a pleotropic sphingolipid signalling molecule that acts through binding to five high-affinity G-protein coupled receptors. S1P-signaling affects cell fate in a multitude of ways, e.g. influencing cell differentiation, proliferation, and apoptosis, as well as playing an important role in immune cell trafficking. Though many effects of S1P-signaling in the human body have been discovered, the full range of functions is yet to be understood. For inflammatory skin diseases such as atopic dermatitis and psoriasis, evidence is emerging that dysfunction and imbalance of the S1P-axis is a contributing factor. Multiple studies investigating the efficacy of S1PR modulators in alleviating the severity and symptoms of skin conditions in various animal models and human clinical trials have shown promising results and validated the interest in the S1P-axis as a potential therapeutic target. Even though the involvement of S1P-signalling in inflammatory skin diseases still requires further clarification, the implications of the recent findings may prompt expansion of research to additional skin conditions and more S1P-axis modulatory pharmaceuticals.",Gray N; Limberg M M; Bräuer A U; Raap U,Journal of the European Academy of Dermatology and Venereology : JEADV,2021-11-12,Animals; Dermatitis; Humans; Lysophospholipids; Signal Transduction; Skin Diseases; Sphingosine,https://pubmed.ncbi.nlm.nih.gov/34679239/
34238587,"Risk of Thromboembolic Events and Associated Risk Factors, Including Treatments, in Patients with Immune-mediated Diseases.","This study assessed the association between thromboembolic events (TEs) and immune-mediated diseases (IMDs) and characterized the risk profile of TEs among patients with IMDs. An administrative claims database (2014-2018) was used to identify adults with ≥2 diagnoses on different dates for ≥1 IMD (IMD cohort; ankylosing spondylitis, atopic dermatitis, inflammatory bowel disease, multiple sclerosis, psoriasis, psoriatic arthritis, rheumatoid arthritis, and systemic lupus erythematosus); patients without an IMD diagnosis were assigned to the non-IMD cohort. Patients in the IMD cohort were matched 1:1 to patients in the non-IMD cohort on age, sex, and index date. Incremental risk of TE (ie, deep vein thrombosis [DVT], pulmonary embolism [PE], myocardial infarction [MI], and ischemic stroke [IS]) was assessed using adjusted incidence rate ratios (aIRRs) to control for covariates in both cohorts. Risk factors for TEs were assessed in the IMD cohort and included age, female sex, comorbidities, baseline TEs, non-IMD treatments, and IMD treatments. A total of 182,431 patients were included in each cohort (mean age, [51.3] years; 64.3% female). A higher proportion of patients in the IMD cohort versus the non-IMD cohort had ≥1 baseline TE (4.1% vs 2.7%; P < 0.0001). The IMD cohort had a 1.80 (95% CI, 1.68-1.92; P < 0.0001) times higher rate of TEs versus patients in the non-IMD cohort. After adjustments, patients in the IMD cohort had a 1.49 (95% CI, 1.40-1.59; P < 0.0001) times higher rate of TEs versus patients in the non-IMD cohort. Similar results were observed across individual TEs (DVT: aIRR = 1.78; PE: aIRR = 1.66; MI: aIRR = 1.17; IS: aIRR = 1.35; all P < 0.05). Risk factor profiles varied by TE. The greatest risk factor was respective TE during baseline (eg, patients with baseline DVT had 41.1 times the rate of DVT during the study period vs patients without baseline DVT; P < 0.001). Comorbidities, such as cardiovascular diseases, type 2 diabetes, and peripheral vascular disease, were associated with increased rates of MI (IRR = 2.60, 1.30, and 1.54, respectively; all P < 0.05) and IS (IRR = 1.53, 1.54, and 1.24, respectively; all P < 0.05). Janus kinase inhibitors were associated with an increased rate of PE (IRR = 2.52; P < 0.05) and nonsignificant, numerically higher rates of DVT (IRR = 1.23; P = NS) and IS (IRR = 1.82; P = NS). Sphingosine 1-phosphate receptor modulators were associated with decreased rates of TEs (DVT: IRR = 0.61, P = NS; PE: IRR = 0.30, P = NS; MI: IRR = 0.54, P = NS; IS: IRR = 0.33, P < 0.05). The risk of TEs was higher among patients with IMD versus patients without IMD; several factors may affect this risk.",Setyawan Juliana; Mu Fan; Yarur Andres; Zichlin Miriam L; Yang Hongbo et al.,Clinical therapeutics,2021-07-06,Adult; Female; Humans; Immune System Diseases; Incidence; Male; Middle Aged; Pulmonary Embolism; Risk Factors; Thromboembolism,https://pubmed.ncbi.nlm.nih.gov/34238587/
33764548,Serum sphingosine-1-phosphate is elevated in atopic dermatitis and associated with severity.,,Sakai Takashi; Herrmann Nadine; Maintz Laura; Nümm Tim Joachim; Welchowski Thomas et al.,Allergy,2021-04-07,"Dermatitis, Atopic; Eczema; Humans; Lysophospholipids; Severity of Illness Index; Sphingosine",https://pubmed.ncbi.nlm.nih.gov/33764548/
33197483,Sphingosine 1-Phosphate Receptor 2 Is Central to Maintaining Epidermal Barrier Homeostasis.,"The outer layer of the epidermis composes the skin barrier, a sophisticated filter constituted by layers of corneocytes in a lipid matrix. The matrix lipids, especially the ceramide-generated sphingosine 1-phosphate, are the messengers that the skin barrier uses to communicate with the basal layer of the epidermis where replicating keratinocytes are located. Sphingosine 1-phosphate is a bioactive sphingolipid mediator involved in various cellular functions through S1PR1‒5, expressed by keratinocytes. We discovered that the S1pr2 absence is linked to an impairment in the skin barrier function. Although S1pr2<sup>-/-</sup> mouse skin has no difference in its phenotype and barrier function compared with that of wild-type mouse, after tape stripping, S1pr2<sup>-/-</sup> mouse showed significantly higher transepidermal water loss and required another 24 hours to normalize their transepidermal water loss levels. Moreover, after epicutaneous Staphylococcus aureus application, impaired S1pr2<sup>-/-</sup> mouse epidermal barrier function allowed deeper bacterial penetration and denser neutrophil infiltration in the dermis. Microarray and RNA sequence of S1pr2<sup>-/-</sup> mouse epidermis linked the barrier dysfunction with a decrease in FLG2 and tight junction components. In conclusion, S1pr2<sup>-/-</sup> mice have compromised skin barrier function and increased bacteria permeability, making them a suitable model for diseases that present similar characteristics, such as atopic dermatitis.",Igawa Satomi; Ohzono Ayaka; Pham Phoebe; Wang Zhenping; Nakatsuji Teruaki et al.,The Journal of investigative dermatology,2020-11-14,"Animals; Cells, Cultured; Epidermis; Filaggrin Proteins; Homeostasis; Humans; Lysophospholipids; Mice; Mice, Inbred BALB C; Permeability",https://pubmed.ncbi.nlm.nih.gov/33197483/
37885821,The mast cell/S1P axis is not linked to pre-lesional male skin remodeling in a mouse model of eczema.,"Atopic dermatitis (AD, eczema) is an inflammatory skin condition whose histopathology involves remodeling. Few preclinical AD studies are performed using male mice. The histopathological mechanisms underlying AD development were investigated here in male mice at a pre-lesional stage using a human AD-like mouse model. Hypodermal cellular infiltration without thickening of skin layers was observed after one epicutaneous exposure to antigen ovalbumin (OVA), compared to controls. In contrast to our previous report using female mice, OVA treatment did not activate skin mast cells (MC) or elevate sphingosine-1-phosphate (S1P) levels while increasing systemic but not local levels of CCL2, CCL3 and CCL5 chemokines. In contrast to the pathogenic AD mechanisms we recently uncovered in female, S1P-mediated skin MC activation with subsequent local chemokine production is not observed in male mice, supporting sex differences in pre-lesional stages of AD. We are proposing that differential involvement of the MC/S1P axis in early pathogenic skin changes contributes to the well documented yet still incompletely understood sex-dimorphic susceptibility to AD in humans.",Tanis Ross M; Wedman-Robida Piper A; Chumanevich Alena P; Fuseler John W; Oskeritzian Carole A,AIMS allergy and immunology,2021-05-28,,https://pubmed.ncbi.nlm.nih.gov/37885821/
32487782,"Topical Application of S1P<sub>2</sub> Antagonist JTE-013 Attenuates 2,4-Dinitrochlorobenzene-Induced Atopic Dermatitis in Mice.","Sphingosine-1-phosphate (S1P) and its receptors have been implicated in atopic dermatitis. S1P2 was found to function as a proallergic receptor, while its antagonist JTE-013 was found to suppress allergic asthma in mice. Topical application of JTE-013 has not been investigated in an <i>in vivo</i> model of atopic dermatitis. Therefore, the therapeutic potential of JTE-013 topical application was evaluated by the use of a 2,4-dinitrochlorobenzene (DNCB)-induced atopic dermatitis mouse model. DNCB-induced inflammation and mast cell accumulation in skin tissues were significantly suppressed by topical JTE-013 treatment in BALB/c mice. DNCB-induced increase of lymph nodes sizes and elevated inflammatory cytokines (IL-4, IL-13, IL-17, and IFN-γ) in lymph nodes were also significantly reduced by the JTE-013 treatment. Elevated serum levels of IgE were significantly suppressed by the topical treatment of JTE-013. In summary, the topical treatment of JTE-013 S1P<sub>2</sub> antagonist suppressed DNCB-induced atopic dermatitis symptoms and immune responses. These results suggested JTE-013 as a potential therapeutic agent for atopic dermatitis.",Kang Jisoo; Lee Ju-Hyun; Im Dong-Soon,Biomolecules & therapeutics,2020-Nov-01,,https://pubmed.ncbi.nlm.nih.gov/32487782/
32457418,"Blockage of sphingosine-1-phosphate receptor 2 attenuates 2,4-dinitrochlorobenzene-induced atopic dermatitis in mice.","Sphingosine-1-phosphate (S1P) and its receptors have been implicated in functions of Langerhans cells and atopic dermatitis. In this study, we investigated the roles of S1P receptor type 2 (S1P<sub>2</sub>) in a mouse model of atopic dermatitis, which was induced by topical application of 2,4-dinitrochlorobenzene (DNCB) on ventral skin on D0, followed by repeated DNCB challenge on both ears from D7 to D49. Wild-type mice with atopic dermatitis displayed severe inflammation and mast cell accumulation in ear tissues and elevated IgE levels in serum. Furthermore, the mice showed significantly increased sizes of draining lymph nodes, high levels of inflammatory cytokines (IL-4, IL-13, IL-17, and IFN-γ) in the ears and lymph nodes and high levels of chemokines CCL17 and CCL22 in ears. Administration of JTE-013, a selective antagonist of S1P<sub>2</sub> (3 mg/kg, i.p, from D19 to D49) before DNCB challenge significantly suppressed DNCB-induced atopic responses in ears and lymph nodes. JTE-013 administration also significantly decreased the lymph nodes sizes, the levels of inflammatory cytokines (IL-4, IL-13, IL-17, and IFN-γ) in the ears and lymph nodes, and the levels of chemokines CCL17 and CCL22 in ears. Furthermore, the inflammatory responses of atopic dermatitis were greatly ameliorated in S1pr2 gene-deficient mice. As CCL17 and CCL22 are CCR4 ligands, acting as Th2-attracting chemokines, we investigated CCL17 and CCL22 expression in bone marrow-derived dendritic cells (BMDCs) from wild-type and S1pr2 gene-deficient mice. Addition of IL-4 (10 ng/mL) markedly increased the levels of CCL17 and CCL22, but IL-4-induced CCL17 and CCL22 expression was significantly blunted in BMDCs from S1pr2 gene-deficient mice. Furthermore, pretreatment with JTE-013 (1-30 μM) dose-dependently suppressed this induction in BMDCs from wild-type mice. Our results demonstrate that blockage of S1P<sub>2</sub> ameliorates not only DNCB-induced atopic dermatitis symptoms but also Th2 cell-attracting capacity of dendritic cells, suggesting S1P<sub>2</sub> as a potential therapeutic target for atopic dermatitis.",Park Soo-Jin; Im Dong-Soon,Acta pharmacologica Sinica,2020-05-26,"Animals; Chemokine CCL17; Chemokine CCL22; Dermatitis, Atopic; Dinitrochlorobenzene; Ear; Lymph Nodes; Male; Mice, Inbred BALB C; Mice, Inbred C57BL",https://pubmed.ncbi.nlm.nih.gov/32457418/
32514255,"A novel sphingosylphosphorylcholine and sphingosine-1-phosphate receptor 1 antagonist, KRO-105714, for alleviating atopic dermatitis.","Atopic dermatitis (eczema) is a type of inflammation of the skin, which presents with itchy, red, swollen, and cracked skin. The high global incidence of atopic dermatitis makes it one of the major skin diseases threatening public health. Sphingosylphosphorylcholine (SPC) and sphingosine-1-phosphate (S1P) act as pro-inflammatory mediators, as an angiogenesis factor and a mitogen in skin fibroblasts, respectively, both of which are important biological responses to atopic dermatitis. The SPC level is known to be elevated in atopic dermatitis, resulting from abnormal expression of sphingomyelin (SM) deacylase, accompanied by a deficiency in ceramide. Also, S1P and its receptor, sphingosine-1-phosphate receptor 1 (S1P1) are important targets in treating atopic dermatitis. In this study, we found a novel antagonist of SPC and S1P1, KRO-105714, by screening 10,000 compounds. To screen the compounds, we used an SPC-induced cell proliferation assay based on a high-throughput screening (HTS) system and a human S1P1 protein-based [<sup>35</sup>S]-GTPγS binding assay. In addition, we confirmed the inhibitory effects of KRO-105714 on atopic dermatitis through related cell-based assays, including a tube formation assay, a cell migration assay, and an ELISA assay on inflammatory cytokines. Finally, we confirmed that KRO-105714 alleviates atopic dermatitis symptoms in a series of mouse models. Taken together, our data suggest that SPC and S1P1 antagonist KRO-105714 has the potential to alleviate atopic dermatitis.",Yoon Sae-Bom; Lee Chang Hoon; Kim Hyun Young; Jeong Daeyoung; Jeon Moon Kook et al.,"Journal of inflammation (London, England)",2020-05-29,,https://pubmed.ncbi.nlm.nih.gov/32514255/
31494188,Soft drugs for dermatological applications: recent trends.,"A soft drug (SD) displays a metabolically labile spot and, after having exerted its activity in the site of action, undergoes a fast metabolism, leading to inactive metabolites. The SD approach has recently found widespread application in the dermatological field because it provides a means of localising the therapeutic effect in skin, while minimising systemic exposure. The literature is rapidly growing of successful examples of compounds targeting sphingosine-1-phosphate receptor 1 (S1PR1), transient receptor potential vanilloid 1 (TRPV1), Janus kinase (JAK), caspase 1, and histone deacetylase (HDAC), for the treatment of skin inflammatory, autoimmune, and oncological diseases. As a demonstration of the potential of this strategy, the SD approach recently led to the approval of crisaborole, a soft phosphodiesterase 4 (PDE4) inhibitor, for atopic dermatitis, while other agents are in clinical development.",Aprile Silvio; Serafini Marta; Pirali Tracey,Drug discovery today,2019-09-05,"Animals; Boron Compounds; Bridged Bicyclo Compounds, Heterocyclic; Dermatitis, Atopic; Dermatologic Agents; Drug Development; Humans; Phosphodiesterase 4 Inhibitors; Skin Diseases",https://pubmed.ncbi.nlm.nih.gov/31494188/
31213388,Long-term Western diet intake leads to dysregulated bile acid signaling and dermatitis with Th2 and Th17 pathway features in mice.,"Dietary interventions are implicated in the development of atopic dermatitis, psoriasis, and acne. To investigate the effect of diet and the bile acid (BA) receptors, such as TGR5 (Takeda G protein receptor 5) and S1PR2 (sphingosine-1-phosphate receptor 2) in the development of dermatitis. C57BL/6 mice were fed a control diet (CD) or Western diet (WD) since weaning until they were 10 months old followed by analyzing histology, gene expression, and BA profiling. Mice developed dermatitis as they aged and the incidence was higher in females than males. Additionally, WD intake substantially increased the incidence of dermatitis. Cutaneous antimicrobial peptide genesS100A8, S100A9, and Defb4 were reduced in WD-fed mice, but increased when mice developed skin lesions. In addition, Tgr5 and TGR5-regulated Dio2 and Nos3 were reduced in WD intake but induced in dermatitic lesions. Trpa1 and Trpv1, which mediate itch, were also increased in dermatitic lesions. The expression of S1pr2 and genes encoding sphingosine kinases, S1P phosphatases, binding protein, and transporter were all reduced by WD intake but elevated in dermatitic lesions. Furthermore, dermatitis development increased total cutaneous BA with an altered profile, which may change TGR5 and S1PR2 activity. Moreover, supplementation with BA sequestrant cholestyramine reduced epidermal thickening as well as cutaneous inflammatory cytokines. In summary, activation of TGR5 and S1PR2, which regulate itch, keratinocyte proliferation, metabolism, and inflammation, may contribute to WD-exacerbated dermatitis with Th2 and Th17 features. In addition, elevated total BA play a significant role in inducing dermatitis and cutaneous inflammation.",Jena Prasant Kumar; Sheng Lili; Mcneil Kyle; Chau Thinh Q; Yu Sebastian et al.,Journal of dermatological science,2019-06-08,"Animals; Bile Acids and Salts; Cell Proliferation; Cholestyramine Resin; Dermatitis; Dermis; Diet, Western; Disease Models, Animal; Female; Humans",https://pubmed.ncbi.nlm.nih.gov/31213388/
28905998,Mast cells and sphingosine-1-phosphate underlie prelesional remodeling in a mouse model of eczema.,"Atopic dermatitis (AD) is a chronic skin inflammation that affects children and adults worldwide, but its pathogenesis remains ill-understood. We show that a single application of OVA to mouse skin initiates remodeling and cellular infiltration of the hypodermis measured by a newly developed computer-aided method. Importantly, we demonstrate that skin mast cell (MC) activation and local sphingosine-1-phosphate (S1P) are significantly augmented after OVA treatment in mice. Deficiency in sphingosine kinase (SphK)1, the S1P-producing enzyme, or in MC, remarkably mitigates all signs of OVA-mediated remodeling and MC activation. Furthermore, skin S1P levels remain unchanged in MC-deficient mice exposed to OVA. LPS-free OVA does not recapitulate any of the precursor signs of AD, supporting a triggering contribution of LPS in AD that, per se, suffice to activate local MC and elevate skin S1P. We describe MC and S1P as novel pathogenic effectors that initiate remodeling in AD prior to any skin lesions and reveal the significance of LPS in OVA used in most studies, thus mimicking natural antigen (Ag) exposure.",Wedman P A; Aladhami A; Chumanevich A P; Fuseler J W; Oskeritzian C A,Allergy,2017-10-11,"Administration, Topical; Animals; Disease Models, Animal; Eczema; Female; Immunosuppressive Agents; Lysophospholipids; Mast Cells; Mice; Mice, Inbred C57BL",https://pubmed.ncbi.nlm.nih.gov/28905998/
27107674,"Synthesis and degradation pathways, functions, and pathology of ceramides and epidermal acylceramides.","Ceramide (Cer) is a structural backbone of sphingolipids and is composed of a long-chain base and a fatty acid. Existence of a variety of Cer species, which differ in chain-length, hydroxylation status, and/or double bond number of either of their hydrophobic chains, has been reported. Ceramide is produced by Cer synthases. Mammals have six Cer synthases (CERS1-6), each of which exhibits characteristic substrate specificity toward acyl-CoAs with different chain-lengths. Knockout mice for each Cer synthase show corresponding, isozyme-specific phenotypes, revealing the functional differences of Cers with different chain-lengths. Cer diversity is especially prominent in epidermis. Changes in Cer levels, composition, and chain-lengths are associated with atopic dermatitis. Acylceramide (acyl-Cer) specifically exists in epidermis and plays an essential role in skin permeability barrier formation. Accordingly, defects in acyl-Cer synthesis cause the cutaneous disorder ichthyosis with accompanying severe skin barrier defects. Although the molecular mechanism by which acyl-Cer is generated was long unclear, most genes involved in its synthesis have been identified recently. In Cer degradation pathways, the long-chain base moiety of Cer is converted to acyl-CoA, which is then incorporated mainly into glycerophospholipids. This pathway generates the lipid mediator sphingosine 1-phosphate. This review will focus on recent advances in our understanding of the synthesis and degradation pathways, physiological functions, and pathology of Cers/acyl-Cers.",Kihara Akio,Progress in lipid research,2016-04-21,"Acetyltransferases; Alcohol Oxidoreductases; Animals; Ceramides; Dermatitis, Atopic; Epidermis; Fatty Acids; Humans; Serine C-Palmitoyltransferase; Sphingosine N-Acyltransferase",https://pubmed.ncbi.nlm.nih.gov/27107674/
26803226,Sphingosine 1-phospate differentially modulates maturation and function of human Langerhans-like cells.,"As mediators between innate and adaptive immune responses, Langerhans cells (LCs) are in the focus of recent investigations to determine their role in allergic inflammatory diseases like allergic contact dermatitis and atopic dermatitis. Sphingosine 1-phosphate (S1P) is a crucial lipid mediator in the skin and potentially interferes with LC homeostasis but also functional properties, such as cytokine release, migration and antigen-uptake which are considered to be key events in the initiation and maintenance of pathological disorders. Here, we used human Langerhans-like cells to study the influence of S1P-mediated signalling on LC maturation, cytokine release, migration and endocytosis. Immature Langerhans-like cells were generated from the human acute myeloid leukaemia cell line MUTZ-3 (MUTZ-LCs) and human primary monocytes (MoLCs). S1P receptor expression was determined by quantitative RT-PCR and western blotting. Expression of maturation markers were investigated by flow cytometry. The influence of S1P signalling on cytokine release was quantified by ELISA. Migration assays and FITC-dextran uptake in the presence of S1P, specific S1 P receptor agonists and antagonists as well as fingolimod (FTY720) were analysed through fluorescence microscopy and flow cytometry. S1P receptor protein expression was confirmed for S1P1, S1P2 and S1P4 in MUTZ-LCs and S1P1 and S1P2 in MoLCs. In mature cells S1P receptors were downregulated. S1P did not induce maturation in MUTZ-LCs, whereas in MoLCs CD83 and CD86 were slightly upregulated. IL-8 release of MUTZ-LCs matured in the presence of S1P was not altered, however, reduced IL-6 and IL-12p70 levels were observed in mature MoLCs. Interestingly, immature MUTZ-LCs revealed a significantly increased S1P-dependent migratory capacity, whereas CCL20 induced migration was significantly decreased in the presence of S1P. Furthermore, migratory capacity towards CCL21 in mature MUTZ-LCs but not MoLCs was significantly lower when cells were stimulated with S1P. S1P, FTY720 and specific S1P receptor agonists did not modulate the endocytotic capacity of immature MUTZ-LCs and MoLCs. These findings were further supported by testing specific antagonists of S1P1-4 in the absence or presence of S1P. Our data demonstrate that S1P regulates key events of human LC maturation including cytokine release and migration. These findings are of particular importance when considering the potential use of S1P in inflammatory skin disorders.",Bock Stephanie; Pfalzgraff Anja; Weindl Günther,Journal of dermatological science,2016-01-09,"Cell Differentiation; Cell Line, Tumor; Cell Movement; Cytokines; Endocytosis; Fingolimod Hydrochloride; Humans; Langerhans Cells; Lysophospholipids; Phenotype",https://pubmed.ncbi.nlm.nih.gov/26803226/
26786937,The role of epidermal sphingolipids in dermatologic diseases.,"Sphingolipids, a group of lipids containing the sphingoid base, have both structural and biological functions in human epidermis. Ceramides, as a part of extracellular lipids in the stratum corneum, are important elements of the skin barrier and are involved in the prevention of transepidermal water loss. In addition, ceramides regulate such processes as proliferation, differentiation and apoptosis of keratinocytes. Another important sphingolipid, sphingosine-1-phosphate (S1P), inhibits proliferation and induces differentiation of keratinocytes. A recent clinical study of the efficacy and safety of ponesimod (a selective modulator of the S1P receptor 1) suggested that sphingolipid metabolism may become a new target for the pharmacological treatment of psoriasis. The role of sphingolipids in some dermatologic diseases, including psoriasis, atopic dermatitis and ichthyoses was summarized in this article.",Borodzicz Sonia; Rudnicka Lidia; Mirowska-Guzel Dagmara; Cudnoch-Jedrzejewska Agnieszka,Lipids in health and disease,2016-01-19,Epidermis; Humans; Skin Diseases; Sphingolipids,https://pubmed.ncbi.nlm.nih.gov/26786937/
